Tiempo,Ref,Angulo,Velocidad,PWM
3.529,80.02,-0.32,0.0092,1537.0
3.538,80.02,-0.32,0.0092,1190.0
3.548,80.02,-0.32,0.0092,1008.0
3.558,80.02,-0.32,0.0284,913.0
3.568,80.02,-0.23,0.0678,863.0
3.578,80.02,-0.15,0.1327,837.0
3.588,80.02,-0.06,0.2338,824.0
3.598,80.02,0.2,0.3636,816.0
3.608,80.02,0.56,0.5286,811.0
3.618,80.02,1.0,0.7244,808.0
3.628,80.02,1.61,0.9468,805.0
3.638,80.02,2.31,1.198,803.0
3.648,80.02,3.28,1.4693,798.0
3.658,80.02,4.42,1.7609,794.0
3.668,80.02,5.74,2.0674,790.0
3.678,80.02,7.24,2.391,785.0
3.688,80.02,8.91,2.7241,780.0
3.698,80.02,10.84,3.0561,773.0
3.708,80.02,13.04,3.403,766.0
3.718,80.02,15.41,3.7606,759.0
3.728,80.02,17.96,4.1044,752.0
3.738,80.02,20.86,4.4407,743.0
3.748,80.02,23.85,4.7706,735.0
3.758,80.02,27.1,5.0717,726.0
3.768,80.02,30.44,5.3538,718.0
3.778,80.02,33.95,5.6081,709.0
3.788,80.02,37.65,5.8252,700.0
3.798,80.02,41.34,6.0146,693.0
3.808,80.02,45.12,6.1796,685.0
3.818,80.02,48.98,6.3105,677.0
3.828,80.02,52.76,6.4063,671.0
3.838,80.02,56.63,6.484,664.0
3.848,80.02,60.5,6.5308,657.0
3.858,80.02,64.36,6.5478,650.0
3.868,80.02,68.14,6.5446,644.0
3.878,80.02,71.92,6.5095,638.0
3.888,80.02,75.61,6.4563,633.0
3.898,80.02,79.31,6.3829,627.0
3.908,80.02,82.82,6.2871,622.0
3.918,80.02,86.34,6.1839,617.0
3.928,80.02,89.68,6.054,613.0
3.938,80.02,92.93,5.9284,609.0
3.948,80.02,96.18,5.7741,604.0
3.958,80.02,99.26,5.6305,600.0
3.968,80.02,102.25,5.4666,596.0
3.978,80.02,105.15,5.3112,593.0
3.988,80.02,107.96,5.1569,589.0
3.998,80.02,110.6,4.9887,586.0
4.008,80.02,113.14,4.8185,583.0
4.018,80.02,115.69,4.6673,579.0
4.028,80.02,118.15,4.5269,576.0
4.038,80.02,120.44,4.3662,573.0
4.048,80.02,122.72,4.2236,570.0
4.058,80.02,124.92,4.099,566.0
4.068,80.02,127.03,3.9628,563.0
4.078,80.02,129.05,3.7755,560.0
4.088,80.02,130.11,2.5676,567.0
4.098,80.02,129.84,0.1997,584.0
4.108,80.02,128.96,-1.2487,599.0
4.118,80.02,127.91,-1.7957,610.0
4.128,80.02,126.68,-2.082,617.0
4.138,80.02,125.36,-2.2278,623.0
4.148,80.02,124.22,-2.2235,625.0
4.158,80.02,122.99,-2.2714,627.0
4.168,80.02,121.67,-2.3576,630.0
4.178,80.02,120.35,-2.4002,633.0
4.188,80.02,119.03,-2.4374,635.0
4.198,80.02,117.63,-2.4949,637.0
4.208,80.02,116.31,-2.5172,639.0
4.218,80.02,114.9,-2.5385,641.0
4.228,80.02,113.41,-2.6003,644.0
4.238,80.02,112.0,-2.6343,646.0
4.248,80.02,110.51,-2.6577,649.0
4.258,80.02,109.01,-2.7077,651.0
4.268,80.02,107.52,-2.7503,654.0
4.278,80.02,105.94,-2.7929,657.0
4.288,80.02,104.44,-2.8216,659.0
4.298,80.02,102.86,-2.8408,662.0
4.308,80.02,101.28,-2.878,664.0
4.318,80.02,99.61,-2.894,668.0
4.328,80.02,98.03,-2.9238,670.0
