Tiempo,Ref,Angulo,Velocidad,PWM
3.528,80.02,-0.59,-0.0043,0.0
3.538,80.02,-0.59,-0.0054,266.0
3.548,80.02,-0.59,-0.0054,266.0
3.558,80.02,-0.59,-0.0075,266.0
3.568,80.02,-0.59,-0.0054,266.0
3.578,80.02,-0.59,0.0021,266.0
3.588,80.02,-0.59,0.0074,266.0
3.598,80.02,-0.59,0.0148,266.0
3.608,80.02,-0.59,0.0233,266.0
3.618,80.02,-0.5,0.0319,266.0
3.628,80.02,-0.5,0.0531,266.0
3.638,80.02,-0.41,0.0776,266.0
3.648,80.02,-0.32,0.1021,266.0
3.658,80.02,-0.32,0.1298,266.0
3.668,80.02,-0.15,0.1617,266.0
3.678,80.02,-0.06,0.1968,266.0
3.688,80.02,0.12,0.2341,266.0
3.698,80.02,0.29,0.2724,266.0
3.708,80.02,0.47,0.3171,266.0
3.718,80.02,0.64,0.3596,266.0
3.728,80.02,0.91,0.4022,266.0
3.738,80.02,1.17,0.448,266.0
3.748,80.02,1.52,0.4895,266.0
3.758,80.02,1.79,0.5299,266.0
3.768,80.02,2.23,0.5725,266.0
3.778,80.02,2.58,0.6097,266.0
3.788,80.02,2.93,0.647,266.0
3.798,80.02,3.37,0.68,266.0
3.808,80.02,3.72,0.7119,266.0
3.818,80.02,4.16,0.7406,266.0
3.828,80.02,4.69,0.764,266.0
3.838,80.02,5.13,0.7896,266.0
3.848,80.02,5.65,0.8024,266.0
3.858,80.02,6.09,0.8183,266.0
3.868,80.02,6.62,0.8279,266.0
3.878,80.02,7.15,0.829,266.0
3.888,80.02,7.59,0.8353,266.0
3.898,80.02,8.11,0.83,266.0
3.908,80.02,8.64,0.8215,266.0
3.918,80.02,9.08,0.8151,266.0
3.928,80.02,9.61,0.7949,266.0
3.938,80.02,10.05,0.7736,266.0
3.948,80.02,10.49,0.7545,266.0
3.958,80.02,10.93,0.7257,266.0
3.968,80.02,11.37,0.6917,266.0
3.978,80.02,11.72,0.6629,266.0
3.988,80.02,12.16,0.6236,266.0
3.998,80.02,12.42,0.5789,266.0
4.008,80.02,12.77,0.5395,266.0
4.018,80.02,13.04,0.4959,266.0
4.028,80.02,13.39,0.4426,266.0
4.038,80.02,13.56,0.3937,266.0
4.048,80.02,13.74,0.3458,266.0
4.058,80.02,13.92,0.2905,266.0
4.068,80.02,14.09,0.2341,266.0
4.078,80.02,14.18,0.1862,266.0
4.088,80.02,14.18,0.1319,266.0
4.098,80.02,14.27,0.0712,266.0
4.108,80.02,14.27,0.0138,266.0
4.118,80.02,14.18,-0.0341,266.0
4.128,80.02,14.18,-0.0831,266.0
4.138,80.02,14.09,-0.1363,266.0
4.148,80.02,14.0,-0.181,266.0
4.158,80.02,13.83,-0.2204,266.0
4.168,80.02,13.65,-0.264,266.0
4.178,80.02,13.48,-0.3055,266.0
4.188,80.02,13.3,-0.3353,266.0
4.198,80.02,13.04,-0.3662,266.0
4.208,80.02,12.77,-0.3981,266.0
4.218,80.02,12.6,-0.4236,266.0
4.228,80.02,12.25,-0.4439,266.0
4.238,80.02,11.98,-0.4651,266.0
4.248,80.02,11.72,-0.4864,266.0
4.258,80.02,11.37,-0.496,266.0
4.268,80.02,11.1,-0.5045,266.0
4.278,80.02,10.84,-0.513,266.0
4.288,80.02,10.49,-0.5184,266.0
4.298,80.02,10.22,-0.512,266.0
4.308,80.02,9.87,-0.5066,266.0
4.318,80.02,9.61,-0.5035,266.0
4.328,80.02,9.26,-0.4917,266.0
4.338,80.02,8.99,-0.4747,266.0
4.348,80.02,8.73,-0.4577,266.0
4.358,80.02,8.47,-0.4428,266.0
4.368,80.02,8.2,-0.4183,266.0
4.378,80.02,8.03,-0.3917,266.0
4.388,80.02,7.85,-0.3662,266.0
4.398,80.02,7.59,-0.3396,266.0
4.408,80.02,7.41,-0.3034,266.0
4.418,80.02,7.32,-0.2661,266.0
4.428,80.02,7.15,-0.2363,266.0
4.438,80.02,7.06,-0.1991,266.0
4.448,80.02,6.97,-0.1576,266.0
4.458,80.02,6.88,-0.1225,266.0
4.468,80.02,6.88,-0.0884,266.0
4.478,80.02,6.8,-0.048,266.0
