Tiempo,Ref,Angulo,Velocidad,PWM
3.528,80.02,-0.67,-0.0236,672.0
3.538,80.02,-0.67,-0.0268,651.0
3.548,80.02,-0.67,-0.0257,653.0
3.558,80.02,-0.67,-0.0193,654.0
3.568,80.02,-0.67,0.002,656.0
3.578,80.02,-0.67,0.0328,658.0
3.588,80.02,-0.59,0.0807,650.0
3.598,80.02,-0.5,0.1456,652.0
3.608,80.02,-0.32,0.2318,645.0
3.618,80.02,-0.06,0.334,637.0
3.628,80.02,0.29,0.4596,630.0
3.638,80.02,0.64,0.6054,631.0
3.648,80.02,1.17,0.7671,614.0
3.658,80.02,1.79,0.947,606.0
3.668,80.02,2.58,1.1439,590.0
3.678,80.02,3.37,1.3386,590.0
3.688,80.02,4.34,1.5387,573.0
3.698,80.02,5.48,1.7633,556.0
3.708,80.02,6.71,1.9708,548.0
3.718,80.02,8.03,2.1741,539.0
3.728,80.02,9.52,2.3677,521.0
3.738,80.02,11.1,2.5529,512.0
3.748,80.02,12.77,2.7264,503.0
3.758,80.02,14.62,2.8839,485.0
3.768,80.02,16.46,3.0127,484.0
3.778,80.02,18.49,3.1436,466.0
3.788,80.02,20.6,3.2596,456.0
3.798,80.02,22.7,3.349,455.0
3.808,80.02,24.81,3.4203,454.0
3.818,80.02,27.01,3.4618,444.0
3.828,80.02,29.21,3.4777,443.0
3.838,80.02,31.32,3.4703,451.0
3.848,80.02,33.43,3.4479,450.0
3.858,80.02,35.62,3.4043,440.0
3.868,80.02,37.65,3.3287,456.0
3.878,80.02,39.58,3.2393,464.0
3.888,80.02,41.51,3.1489,463.0
3.898,80.02,43.36,3.0265,470.0
3.908,80.02,45.12,2.8828,478.0
3.918,80.02,46.7,2.7551,495.0
3.928,80.02,48.28,2.6051,494.0
3.938,80.02,49.69,2.4273,510.0
3.948,80.02,51.09,2.2698,510.0
3.958,80.02,52.32,2.1134,526.0
3.968,80.02,53.38,1.925,544.0
3.978,80.02,54.43,1.7377,543.0
3.988,80.02,55.31,1.5685,560.0
3.998,80.02,56.19,1.4046,560.0
4.008,80.02,56.81,1.2322,586.0
4.018,80.02,57.51,1.0577,577.0
4.028,80.02,57.95,0.8895,603.0
4.038,80.02,58.39,0.7288,603.0
4.048,80.02,58.74,0.5767,612.0
4.058,80.02,58.92,0.4362,630.0
4.068,80.02,59.09,0.3063,630.0
4.078,80.02,59.27,0.185,631.0
4.088,80.02,59.27,0.0775,648.0
4.098,80.02,59.27,-0.0193,649.0
4.108,80.02,59.18,-0.1034,658.0
4.118,80.02,59.09,-0.1747,659.0
4.128,80.02,58.92,-0.2439,668.0
4.138,80.02,58.74,-0.3088,669.0
4.148,80.02,58.56,-0.3524,669.0
4.158,80.02,58.3,-0.378,679.0
4.168,80.02,58.12,-0.4046,671.0
4.178,80.02,57.86,-0.4237,680.0
4.188,80.02,57.6,-0.4195,681.0
4.198,80.02,57.42,-0.4227,673.0
4.208,80.02,57.16,-0.412,682.0
4.218,80.02,56.89,-0.3929,683.0
4.228,80.02,56.72,-0.3716,675.0
4.238,80.02,56.54,-0.3365,675.0
4.248,80.02,56.37,-0.3056,676.0
4.258,80.02,56.28,-0.262,668.0
4.268,80.02,56.19,-0.2226,668.0
4.278,80.02,56.1,-0.1747,669.0
4.288,80.02,56.02,-0.1311,670.0
4.298,80.02,56.02,-0.081,661.0
4.308,80.02,56.02,-0.0342,662.0
4.318,80.02,56.02,0.0179,662.0
4.328,80.02,56.1,0.0616,654.0
4.338,80.02,56.19,0.1084,654.0
4.348,80.02,56.28,0.152,655.0
4.358,80.02,56.45,0.1935,646.0
4.368,80.02,56.63,0.2308,646.0
4.378,80.02,56.81,0.2712,647.0
4.388,80.02,56.98,0.2989,647.0
4.398,80.02,57.16,0.3329,647.0
4.408,80.02,57.42,0.3553,639.0
4.418,80.02,57.69,0.3808,639.0
4.428,80.02,57.95,0.3989,639.0
4.438,80.02,58.21,0.4138,639.0
4.448,80.02,58.48,0.4287,639.0
4.458,80.02,58.74,0.434,639.0
4.468,80.02,59.0,0.4479,640.0
4.478,80.02,59.27,0.4479,640.0
4.488,80.02,59.53,0.4521,640.0
4.498,80.02,59.88,0.4511,631.0
4.508,80.02,60.15,0.4447,640.0
4.518,80.02,60.41,0.4426,640.0
4.528,80.02,60.67,0.4277,640.0
4.538,80.02,60.94,0.4245,640.0
4.548,80.02,61.2,0.4064,641.0
4.558,80.02,61.38,0.3915,650.0
4.568,80.02,61.64,0.3808,641.0
4.578,80.02,61.9,0.3585,641.0
4.588,80.02,62.08,0.3478,650.0
4.598,80.02,62.26,0.3276,650.0
4.608,80.02,62.52,0.3106,641.0
4.618,80.02,62.61,0.2957,659.0
4.628,80.02,62.87,0.2744,642.0
4.638,80.02,62.96,0.2638,660.0
4.648,80.02,63.13,0.2425,651.0
4.658,80.02,63.31,0.2265,651.0
4.668,80.02,63.4,0.2116,660.0
4.678,80.02,63.57,0.1914,652.0
4.688,80.02,63.66,0.1797,661.0
4.698,80.02,63.75,0.1605,661.0
4.708,80.02,63.84,0.151,661.0
4.718,80.02,63.93,0.1318,661.0
4.728,80.02,64.01,0.1222,662.0
4.738,80.02,64.1,0.1116,662.0
4.748,80.02,64.19,0.1009,662.0
4.758,80.02,64.28,0.0956,662.0
4.768,80.02,64.28,0.085,671.0
4.778,80.02,64.36,0.0818,663.0
4.788,80.02,64.45,0.0711,663.0
4.798,80.02,64.45,0.0733,672.0
4.808,80.02,64.54,0.0637,663.0
4.818,80.02,64.54,0.0658,673.0
4.828,80.02,64.63,0.0616,664.0
4.838,80.02,64.63,0.0626,673.0
4.848,80.02,64.72,0.0616,665.0
4.858,80.02,64.8,0.0605,665.0
4.868,80.02,64.8,0.0637,674.0
4.878,80.02,64.89,0.0648,665.0
4.888,80.02,64.89,0.0658,674.0
4.898,80.02,64.98,0.0669,666.0
4.908,80.02,64.98,0.0701,675.0
4.918,80.02,65.07,0.0711,666.0
4.928,80.02,65.16,0.0733,667.0
4.938,80.02,65.16,0.0733,676.0
4.948,80.02,65.24,0.0786,667.0
4.958,80.02,65.33,0.0786,667.0
4.968,80.02,65.33,0.085,676.0
4.978,80.02,65.42,0.0829,668.0
4.988,80.02,65.51,0.0882,668.0
4.998,80.02,65.6,0.0903,668.0
5.008,80.02,65.6,0.0978,677.0
