Tiempo,Ref,Angulo,Velocidad,PWM
3.528,80.02,-0.5,0.0005,223.0
3.538,80.02,-0.5,0.0016,223.0
3.548,80.02,-0.5,0.0027,223.0
3.558,80.02,-0.5,0.0027,223.0
3.568,80.02,-0.5,0.0048,223.0
3.578,80.02,-0.5,0.0101,223.0
3.588,80.02,-0.5,0.0165,224.0
3.598,80.02,-0.5,0.0229,224.0
3.608,80.02,-0.5,0.0325,224.0
3.618,80.02,-0.41,0.0452,226.0
3.628,80.02,-0.41,0.0591,227.0
3.638,80.02,-0.32,0.0772,229.0
3.648,80.02,-0.32,0.0963,230.0
3.658,80.02,-0.23,0.1176,232.0
3.668,80.02,-0.15,0.1421,234.0
3.678,80.02,-0.06,0.1676,237.0
3.688,80.02,0.12,0.1942,240.0
3.698,80.02,0.2,0.224,243.0
3.708,80.02,0.38,0.256,247.0
3.718,80.02,0.56,0.2879,251.0
3.728,80.02,0.73,0.3209,255.0
3.738,80.02,1.0,0.3539,260.0
3.748,80.02,1.17,0.39,264.0
3.758,80.02,1.44,0.4262,269.0
3.768,80.02,1.7,0.4582,274.0
3.778,80.02,2.05,0.4943,280.0
3.788,80.02,2.31,0.5305,286.0
3.798,80.02,2.67,0.5635,292.0
3.808,80.02,3.11,0.5986,299.0
3.818,80.02,3.46,0.6316,306.0
3.828,80.02,3.81,0.6625,312.0
3.838,80.02,4.25,0.6997,319.0
3.848,80.02,4.69,0.7274,327.0
3.858,80.02,5.13,0.7583,334.0
3.868,80.02,5.65,0.7945,343.0
3.878,80.02,6.09,0.8211,350.0
3.888,80.02,6.62,0.8445,358.0
3.898,80.02,7.15,0.8743,366.0
3.908,80.02,7.68,0.9062,375.0
3.918,80.02,8.29,0.936,384.0
3.928,80.02,8.82,0.9658,393.0
3.938,80.02,9.43,0.9945,402.0
3.948,80.02,10.05,1.0243,412.0
3.958,80.02,10.66,1.0573,421.0
3.968,80.02,11.37,1.0871,432.0
3.978,80.02,12.07,1.1127,442.0
3.988,80.02,12.77,1.1339,453.0
3.998,80.02,13.39,1.1574,462.0
4.008,80.02,14.18,1.1967,474.0
